speed_x,altitude,course,courseVariation,accX,accY,accZ,roll,pitch,yaw,distanceAheadVehicle,timeOfImpactAheadVehicle,behaviour
93.46,619.4,326.54,1.9684,-0.056,0.032,-0.005,-1.645,-0.024,0.078,-1,-1,NORMAL
93.65,619.5,326.25,2.109,-0.082,0.029,0.001,-1.647,-0.026,0.078,14.67,0.075,NORMAL
93.84,619.6,325.96,2.2496,-0.046,0.023,-0.001,-1.647,-0.029,0.077,30.34,1.15,NORMAL
94.03,619.7,325.67,2.3902,0.003,0.025,0.001,-1.646,-0.034,0.077,29.71,1.13,NORMAL
94.22,619.8,325.38,2.5308,0.022,0.016,0,-1.646,-0.034,0.077,28.91,1.1,NORMAL
94.41,619.9,325.09,2.6714,0,0.016,-0.01,-1.646,-0.033,0.077,28.52,1.08,NORMAL
94.6,620,324.8,2.812,0.008,0.029,-0.025,-1.642,-0.032,0.077,28.2,1.07,NORMAL
95.06,620.08,324.84,2.8472,-0.024,0.015,-0.031,-1.64,-0.036,0.077,27.94,1.06,NORMAL
95.52,620.16,324.88,2.8824,-0.012,0.013,-0.025,-1.638,-0.039,0.076,27.72,1.02,NORMAL
95.98,620.24,324.92,2.9176,0.005,0,-0.017,-1.637,-0.036,0.076,27.9,1.03,NORMAL
96.44,620.32,324.96,2.9528,0.023,0.015,-0.016,-1.636,-0.038,0.076,28.02,1.04,NORMAL
96.9,620.4,325,2.988,0,0.041,-0.024,-1.634,-0.038,0.076,27.915,1.035,NORMAL
97.36,620.48,325.04,3.0232,-0.037,0.036,-0.019,-1.634,-0.04,0.076,27.81,1.03,NORMAL
97.82,620.56,325.08,3.0584,0,0.017,-0.071,-1.629,-0.041,0.076,27.64,1.02,NORMAL
98.28,620.64,325.12,3.0936,0.024,-0.003,-0.1,-1.619,-0.039,0.076,27.49,1.02,NORMAL
98.74,620.72,325.16,3.1288,-0.003,-0.008,-0.096,-1.608,-0.039,0.076,28.09,1.04,NORMAL
99.2,620.8,325.2,3.164,0.019,0.012,-0.072,-1.593,-0.043,0.076,28.31,1.05,NORMAL
99.2,620.8,325.2,2.9179,0.019,0.012,-0.072,-1.593,-0.043,0.076,28.31,1.05,NORMAL
99.2,620.8,325.2,2.6718,0.008,0.017,-0.062,-1.589,-0.043,0.076,28.39,1.03,NORMAL
99.2,620.8,325.2,2.4257,-0.023,0.028,-0.053,-1.585,-0.044,0.076,28.46,1.03,NORMAL
99.2,620.8,325.2,2.1796,-0.036,0.002,-0.053,-1.58,-0.046,0.076,28.325,1.025,NORMAL
99.2,620.8,325.2,1.9335,-0.031,0.01,0.004,-1.579,-0.047,0.076,28.19,1.02,NORMAL
99.2,620.8,325.2,1.6874,-0.021,0.02,-0.006,-1.579,-0.049,0.075,27.68,1,NORMAL
99.2,620.8,325.2,1.4413,0.009,-0.013,0.019,-1.579,-0.048,0.075,27.24,0.99,NORMAL
99.2,620.8,325.2,1.1952,-0.008,-0.019,0.016,-1.58,-0.046,0.076,27.19,0.99,NORMAL
99.2,620.8,325.2,0.9491,-0.017,-0.017,0.015,-1.582,-0.043,0.076,26.84,0.97,NORMAL
99.2,620.8,325.2,0.703,0.012,-0.009,0.01,-1.582,-0.04,0.076,26.705,0.965,NORMAL
99.15,620.87,325.23,0.7382,0.004,-0.004,-0.005,-1.581,-0.039,0.077,26.57,0.96,NORMAL
99.1,620.94,325.26,0.7734,-0.004,-0.016,0.02,-1.583,-0.036,0.077,26.63,0.97,NORMAL
99.05,621.01,325.29,0.8086,-0.016,-0.047,0.017,-1.584,-0.031,0.079,26.51,0.965,NORMAL
99,621.08,325.32,0.8438,-0.026,-0.051,-0.005,-1.584,-0.026,0.082,26.39,0.96,NORMAL
98.95,621.15,325.35,0.879,-0.028,-0.051,0.006,-1.584,-0.018,0.084,25.92,0.95,NORMAL
98.9,621.22,325.38,0.9142,-0.008,-0.055,0.019,-1.585,-0.016,0.086,25.82,0.94,NORMAL
98.85,621.29,325.41,0.9494,0.001,-0.025,0.003,-1.587,-0.013,0.088,25.2,0.92,NORMAL
98.8,621.36,325.44,0.9846,0.018,-0.004,0.013,-1.588,-0.007,0.09,24.69,0.9,NORMAL
98.75,621.43,325.47,1.0198,0.028,-0.013,0.022,-1.589,-0.003,0.093,24.05,0.88,NORMAL
98.7,621.5,325.5,1.055,-0.011,-0.043,0.008,-1.59,0.001,0.096,23.785,0.87,NORMAL
98.81,621.52,325.4,1.055,-0.025,-0.068,0.005,-1.591,0.004,0.099,23.52,0.86,NORMAL
98.92,621.54,325.3,1.055,-0.052,-0.013,0.006,-1.59,0.006,0.101,23.33,0.84,NORMAL
99.03,621.56,325.2,1.055,-0.063,-0.016,0.03,-1.592,0.007,0.104,22.55,0.81,NORMAL
99.14,621.58,325.1,1.055,-0.027,-0.032,0.002,-1.593,0.005,0.107,22.33,0.81,NORMAL
99.25,621.6,325,1.055,0.089,-0.039,0.035,-1.594,0.006,0.109,21.72,0.78,NORMAL
99.36,621.62,324.9,1.055,0.117,-0.016,0.016,-1.593,0.008,0.112,21.26,0.77,NORMAL
99.47,621.64,324.8,1.055,0.059,-0.039,0.021,-1.593,0.01,0.115,20.87,0.75,NORMAL
99.58,621.66,324.7,1.055,-0.013,-0.015,0.009,-1.595,0.015,0.117,9.935,-0.125,NORMAL
99.69,621.68,324.6,1.055,-0.063,0.007,0.001,-1.594,0.015,0.119,-1,-1,NORMAL
99.8,621.7,324.5,1.055,-0.055,0,0.0135,-1.5955,0.0135,0.1205,-1,-1,NORMAL
99.93,621.77,324.39,1.1604,-0.047,-0.007,0.026,-1.597,0.012,0.122,9.32,-0.15,NORMAL
100.06,621.84,324.28,1.2658,0.029,0.014,-0.003,-1.6,0.011,0.123,19.64,0.7,NORMAL
100.19,621.91,324.17,1.3712,0.021,0.02,0.004,-1.601,0.007,0.123,19.305,0.69,NORMAL
100.32,621.98,324.06,1.4766,-0.016,0.039,-0.007,-1.601,0,0.124,18.97,0.68,NORMAL
100.45,622.05,323.95,1.582,-0.056,0.052,0,-1.602,-0.002,0.123,18.86,0.675,NORMAL
100.58,622.12,323.84,1.6874,-0.036,0.033,-0.016,-1.602,-0.007,0.123,18.75,0.67,NORMAL
100.71,622.19,323.73,1.7928,0.021,0.043,0.008,-1.601,-0.011,0.122,18.42,0.66,NORMAL
100.84,622.26,323.62,1.8982,0.026,0.026,0.004,-1.601,-0.014,0.121,18,0.64,NORMAL
100.97,622.33,323.51,2.0036,0.05,0.049,0.01,-1.602,-0.018,0.12,17.69,0.63,NORMAL
101.1,622.4,323.4,2.109,0.024,0.029,-0.001,-1.601,-0.025,0.119,17.16,0.61,NORMAL
101.46,622.47,323.44,2.109,-0.032,0.058,0.009,-1.602,-0.025,0.119,-1,-1,NORMAL
101.82,622.54,323.48,2.109,-0.06,0.047,0,-1.601,-0.027,0.118,16.82,0.59,NORMAL
102.18,622.61,323.52,2.109,-0.046,0.004,0.003,-1.601,-0.026,0.118,-1,-1,NORMAL
102.54,622.68,323.56,2.109,-0.019,0.005,-0.015,-1.6,-0.027,0.117,-1,-1,NORMAL
102.9,622.75,323.6,2.109,-0.003,0.03,0.009,-1.601,-0.027,0.117,15.73,0.55,NORMAL
103.26,622.82,323.64,2.109,-0.012,0.023,-0.016,-1.601,-0.027,0.116,-1,-1,NORMAL
103.62,622.89,323.68,2.109,-0.036,0.021,0.003,-1.602,-0.027,0.116,-1,-1,NORMAL
103.98,622.96,323.72,2.109,-0.031,0.02,-0.002,-1.601,-0.03,0.115,-1,-1,NORMAL
104.34,623.03,323.76,2.109,-0.03,0.026,0,-1.602,-0.028,0.114,-1,-1,NORMAL
104.7,623.1,323.8,2.109,-0.013,0.013,0.011,-1.601,-0.029,0.113,-1,-1,NORMAL
104.7,623.1,323.8,2.0387,-0.013,0.013,0.011,-1.601,-0.029,0.113,-1,-1,NORMAL
104.7,623.1,323.8,1.9684,-0.002,-0.001,-0.014,-1.6,-0.031,0.112,-1,-1,NORMAL
104.7,623.1,323.8,1.8981,-0.016,-0.013,0,-1.6,-0.027,0.111,-1,-1,NORMAL
104.7,623.1,323.8,1.8278,-0.029,0.042,-0.002,-1.601,-0.027,0.11,-1,-1,NORMAL
104.7,623.1,323.8,1.7575,-0.019,0.017,-0.003,-1.601,-0.028,0.109,-1,-1,NORMAL
104.7,623.1,323.8,1.6872,-0.013,0.007,0.003,-1.601,-0.029,0.109,-1,-1,NORMAL
104.7,623.1,323.8,1.6169,-0.015,0.01,-0.006,-1.601,-0.027,0.108,-1,-1,NORMAL
104.7,623.1,323.8,1.5466,0,0.004,0.009,-1.602,-0.023,0.107,-1,-1,NORMAL
104.7,623.1,323.8,1.4763,0.033,0.032,0.021,-1.603,-0.025,0.106,-1,-1,NORMAL
104.7,623.1,323.8,1.406,0.051,-0.004,-0.01,-1.601,-0.026,0.105,-1,-1,NORMAL
104.86,623.15,323.83,1.4412,0.016,0.024,-0.018,-1.6,-0.027,0.104,-1,-1,NORMAL
105.02,623.2,323.86,1.4764,-0.046,0.005,0.003,-1.6,-0.026,0.103,-1,-1,NORMAL
105.18,623.25,323.89,1.5116,-0.054,0.001,0.001,-1.6,-0.026,0.102,-1,-1,NORMAL
105.34,623.3,323.92,1.5468,-0.042,-0.013,0.009,-1.6,-0.028,0.101,-1,-1,NORMAL
105.5,623.35,323.95,1.582,0.018,0.012,-0.019,-1.6,-0.028,0.099,-1,-1,NORMAL
105.66,623.4,323.98,1.6172,0.012,-0.007,0.001,-1.6,-0.023,0.099,-1,-1,NORMAL
105.82,623.45,324.01,1.6524,-0.021,-0.042,0.001,-1.601,-0.018,0.099,-1,-1,NORMAL
105.98,623.5,324.04,1.6876,-0.061,-0.08,-0.004,-1.599,-0.013,0.1,-1,-1,NORMAL
106.14,623.55,324.07,1.7228,-0.024,-0.076,-0.003,-1.599,-0.009,0.102,-1,-1,NORMAL
106.3,623.6,324.1,1.758,0.027,-0.085,-0.007,-1.6,0.001,0.104,-1,-1,NORMAL
106.38,623.63,324.14,1.6525,0.001,-0.068,-0.009,-1.599,0.007,0.105,-1,-1,NORMAL
106.46,623.66,324.18,1.547,-0.008,-0.043,-0.007,-1.598,0.01,0.107,-1,-1,NORMAL
106.54,623.69,324.22,1.4415,-0.014,-0.031,-0.006,-1.598,0.013,0.108,-1,-1,NORMAL
106.62,623.72,324.26,1.336,-0.018,0.003,-0.019,-1.598,0.016,0.108,-1,-1,NORMAL
106.7,623.75,324.3,1.2305,0.018,0.007,0,-1.598,0.017,0.108,-1,-1,NORMAL
106.78,623.78,324.34,1.125,-0.007,0.016,0.006,-1.599,0.017,0.108,-1,-1,NORMAL
106.86,623.81,324.38,1.0195,-0.002,0.013,-0.022,-1.598,0.016,0.108,-1,-1,NORMAL
106.94,623.84,324.42,0.914,0.005,-0.004,-0.003,-1.598,0.016,0.107,-1,-1,NORMAL
107.02,623.87,324.46,0.8085,0.028,0.018,-0.004,-1.597,0.015,0.106,-1,-1,NORMAL
107.1,623.9,324.5,0.703,-0.008,0.043,-0.014,-1.596,0.013,0.105,-1,-1,NORMAL
107.26,623.97,324.46,0.6679,-0.03,0.026,-0.022,-1.593,0.011,0.105,-1,-1,NORMAL
107.42,624.04,324.42,0.6328,-0.037,0.009,-0.004,-1.593,0.009,0.104,-1,-1,NORMAL
107.58,624.11,324.38,0.5977,-0.007,0.03,0,-1.595,0.007,0.103,-1,-1,NORMAL
107.74,624.18,324.34,0.5626,-0.064,0.018,-0.023,-1.595,0.007,0.102,-1,-1,NORMAL
107.9,624.25,324.3,0.5275,-0.076,0.003,-0.018,-1.594,0.004,0.102,-1,-1,NORMAL
108.06,624.32,324.26,0.4924,-0.071,0.011,-0.002,-1.594,0.001,0.101,-1,-1,NORMAL
108.22,624.39,324.22,0.4573,0.009,0.016,0.016,-1.595,-0.003,0.1,-1,-1,NORMAL
108.38,624.46,324.18,0.4222,0.027,0.022,-0.013,-1.594,-0.001,0.099,-1,-1,NORMAL
108.54,624.53,324.14,0.3871,0.057,0.023,0.009,-1.594,0.001,0.099,-1,-1,NORMAL
108.7,624.6,324.1,0.352,0.11,0.016,-0.011,-1.589,0.001,0.098,-1,-1,NORMAL
108.76,624.64,324.1,0.352,0.035,-0.021,-0.026,-1.587,-0.001,0.097,-1,-1,NORMAL
108.82,624.68,324.1,0.352,-0.077,0.002,0.005,-1.587,-0.002,0.096,-1,-1,NORMAL
108.88,624.72,324.1,0.352,-0.064,0.021,0.002,-1.587,-0.005,0.095,-1,-1,NORMAL
108.94,624.76,324.1,0.352,-0.025,0.012,-0.025,-1.584,-0.007,0.095,-1,-1,NORMAL
109,624.8,324.1,0.352,0.004,-0.014,-0.015,-1.583,-0.008,0.095,-1,-1,NORMAL
109.06,624.84,324.1,0.352,0.009,-0.004,0.002,-1.583,-0.007,0.094,-1,-1,NORMAL
109.12,624.88,324.1,0.352,0.023,0.008,-0.003,-1.584,-0.008,0.093,-1,-1,NORMAL
109.18,624.92,324.1,0.352,-0.01,0.01,-0.005,-1.583,-0.012,0.092,-1,-1,NORMAL
109.24,624.96,324.1,0.352,-0.059,-0.002,0.011,-1.584,-0.012,0.091,-1,-1,NORMAL
109.3,625,324.1,0.352,-0.003,0.011,-0.003,-1.583,-0.014,0.091,-1,-1,NORMAL
109.36,625.03,324.14,0.352,0.039,-0.032,-0.009,-1.582,-0.013,0.09,-1,-1,NORMAL
109.42,625.06,324.18,0.352,0.013,-0.017,-0.016,-1.581,-0.011,0.089,-1,-1,NORMAL
109.48,625.09,324.22,0.352,0.013,-0.017,-0.016,-1.581,-0.011,0.089,-1,-1,NORMAL
109.54,625.12,324.26,0.352,-0.036,0.02,-0.01,-1.582,-0.012,0.088,-1,-1,NORMAL
109.6,625.15,324.3,0.352,-0.017,-0.003,0.004,-1.581,-0.01,0.087,-1,-1,NORMAL
109.66,625.18,324.34,0.352,-0.041,0,-0.017,-1.579,-0.009,0.087,-1,-1,NORMAL
109.72,625.21,324.38,0.352,-0.054,-0.016,-0.015,-1.578,-0.008,0.087,-1,-1,NORMAL
109.78,625.24,324.42,0.352,-0.054,-0.016,-0.015,-1.578,-0.008,0.087,-1,-1,NORMAL
109.84,625.27,324.46,0.352,-0.009,-0.027,-0.013,-1.577,-0.008,0.086,-1,-1,NORMAL
109.9,625.3,324.5,0.352,0.047,0,-0.007,-1.577,-0.008,0.085,-1,-1,NORMAL
109.96,625.38,324.53,0.3871,-0.03,-0.018,-0.012,-1.577,-0.005,0.085,-1,-1,NORMAL
110.02,625.46,324.56,0.4222,-0.036,-0.028,-0.01,-1.576,-0.005,0.086,-1,-1,NORMAL
110.08,625.54,324.59,0.4573,-0.036,-0.028,-0.01,-1.576,-0.005,0.086,-1,-1,NORMAL
110.14,625.62,324.62,0.4924,-0.044,-0.035,-0.013,-1.576,-0.004,0.086,-1,-1,NORMAL
110.2,625.7,324.65,0.5275,0.002,-0.007,-0.003,-1.574,-0.006,0.086,-1,-1,NORMAL
110.26,625.78,324.68,0.5626,0.032,-0.018,0,-1.574,-0.005,0.086,-1,-1,NORMAL
110.32,625.86,324.71,0.5977,-0.013,-0.039,-0.008,-1.574,-0.006,0.086,-1,-1,NORMAL
110.38,625.94,324.74,0.6328,-0.013,-0.039,-0.008,-1.574,-0.006,0.086,-1,-1,NORMAL
110.44,626.02,324.77,0.6679,-0.031,-0.011,-0.005,-1.574,-0.006,0.086,-1,-1,NORMAL
110.5,626.1,324.8,0.703,-0.0185,-0.012,-0.011,-1.572,-0.0075,0.0865,-1,-1,NORMAL
110.93,626.09,324.84,0.703,-0.006,-0.013,-0.017,-1.57,-0.009,0.087,-1,-1,NORMAL
111.36,626.08,324.88,0.703,0.007,-0.015,0.018,-1.571,-0.008,0.087,-1,-1,NORMAL
111.79,626.07,324.92,0.703,-0.027,-0.004,-0.014,-1.571,-0.01,0.087,-1,-1,NORMAL
112.22,626.06,324.96,0.703,-0.027,-0.0245,-0.0095,-1.57,-0.0105,0.087,-1,-1,NORMAL
112.65,626.05,325,0.703,-0.027,-0.045,-0.005,-1.569,-0.011,0.087,-1,-1,NORMAL
113.08,626.04,325.04,0.703,0.034,0.004,-0.024,-1.567,-0.009,0.088,-1,-1,NORMAL
113.51,626.03,325.08,0.703,0.002,-0.038,-0.013,-1.566,-0.006,0.088,-1,-1,NORMAL
113.94,626.02,325.12,0.703,-0.048,-0.044,0.004,-1.567,-0.003,0.089,-1,-1,NORMAL
114.37,626.01,325.16,0.703,0.025,0.026,-0.007,-1.566,-0.003,0.089,-1,-1,NORMAL
114.8,626,325.2,0.703,0.0075,0.012,-0.0005,-1.564,-0.0035,0.0895,-1,-1,NORMAL
114.44,626.05,325.13,0.703,-0.01,-0.002,0.006,-1.562,-0.004,0.09,-1,-1,NORMAL
114.08,626.1,325.06,0.703,0.011,-0.001,0,-1.5615,-0.003,0.09,-1,-1,NORMAL
113.72,626.15,324.99,0.703,0.032,0,-0.006,-1.561,-0.002,0.09,-1,-1,NORMAL
113.36,626.2,324.92,0.703,0.028,-0.017,-0.007,-1.559,-0.004,0.09,-1,-1,NORMAL
113,626.25,324.85,0.703,-0.003,-0.025,-0.009,-1.558,-0.002,0.09,-1,-1,NORMAL
112.64,626.3,324.78,0.703,-0.001,0.01,0.005,-1.559,0,0.091,-1,-1,NORMAL
112.28,626.35,324.71,0.703,-0.002,0.013,-0.005,-1.559,0,0.091,-1,-1,NORMAL
111.92,626.4,324.64,0.703,-0.027,0.021,-0.008,-1.559,-0.002,0.091,-1,-1,NORMAL
111.56,626.45,324.57,0.703,-0.058,0.004,-0.013,-1.558,-0.003,0.09,-1,-1,NORMAL
111.2,626.5,324.5,0.703,-0.016,0.025,-0.001,-1.559,-0.005,0.09,-1,-1,NORMAL
111.17,626.56,324.5,0.703,0.007,0.012,-0.016,-1.559,-0.009,0.09,-1,-1,NORMAL
111.14,626.62,324.5,0.703,0.028,0.015,0.012,-1.559,-0.01,0.089,-1,-1,NORMAL
111.11,626.68,324.5,0.703,-0.012,-0.02,0.011,-1.56,-0.011,0.089,-1,-1,NORMAL
111.08,626.74,324.5,0.703,-0.006,0.028,0.006,-1.559,-0.015,0.087,-1,-1,NORMAL
111.05,626.8,324.5,0.703,0.001,0.043,-0.018,-1.558,-0.022,0.085,-1,-1,NORMAL
111.02,626.86,324.5,0.703,-0.016,0.052,0.016,-1.559,-0.026,0.083,-1,-1,NORMAL
110.99,626.92,324.5,0.703,-0.027,0.072,-0.004,-1.559,-0.034,0.08,-1,-1,NORMAL
110.96,626.98,324.5,0.703,0.004,0.048,0.003,-1.559,-0.04,0.078,-1,-1,NORMAL
110.93,627.04,324.5,0.703,-0.007,0.026,-0.002,-1.559,-0.041,0.076,-1,-1,NORMAL
110.9,627.1,324.5,0.703,-0.044,0.006,0.004,-1.56,-0.04,0.074,-1,-1,NORMAL
111.04,627.12,324.57,0.703,-0.066,0.026,0,-1.561,-0.043,0.072,-1,-1,NORMAL
111.18,627.14,324.64,0.703,-0.081,0.031,0.003,-1.563,-0.046,0.07,-1,-1,NORMAL
111.32,627.16,324.71,0.703,-0.033,0.039,-0.001,-1.566,-0.048,0.069,-1,-1,NORMAL
111.46,627.18,324.78,0.703,-0.038,0.001,-0.002,-1.568,-0.049,0.067,-1,-1,NORMAL
111.6,627.2,324.85,0.703,-0.098,0.004,0.004,-1.571,-0.049,0.065,-1,-1,NORMAL
111.74,627.22,324.92,0.703,0.055,0.025,0.03,-1.571,-0.05,0.064,-1,-1,NORMAL
111.88,627.24,324.99,0.703,0.17,-0.024,-0.011,-1.566,-0.047,0.063,-1,-1,NORMAL
112.02,627.26,325.06,0.703,0.067,-0.024,-0.001,-1.566,-0.047,0.061,-1,-1,NORMAL
112.16,627.28,325.13,0.703,0.002,-0.023,0.017,-1.566,-0.047,0.06,-1,-1,NORMAL
112.3,627.3,325.2,0.703,0.01,-0.011,0.004,-1.564,-0.044,0.06,-1,-1,NORMAL
112.16,627.32,325.27,0.7733,-0.082,-0.019,-0.018,-1.563,-0.042,0.059,-1,-1,NORMAL
112.02,627.34,325.34,0.8436,-0.064,-0.01,0.015,-1.563,-0.042,0.058,-1,-1,NORMAL
111.88,627.36,325.41,0.9139,0.093,-0.008,0.027,-1.563,-0.041,0.058,-1,-1,NORMAL
111.74,627.38,325.48,0.9842,0.013,-0.023,-0.033,-1.56,-0.039,0.057,-1,-1,NORMAL
111.6,627.4,325.55,1.0545,-0.151,-0.043,0.007,-1.564,-0.036,0.058,-1,-1,NORMAL
111.46,627.42,325.62,1.1248,-0.14,-0.015,0.028,-1.566,-0.037,0.058,-1,-1,NORMAL
111.32,627.44,325.69,1.1951,-0.015,-0.013,0.011,-1.568,-0.032,0.058,-1,-1,NORMAL
111.18,627.46,325.76,1.2654,0.154,-0.02,0.012,-1.57,-0.028,0.058,-1,-1,NORMAL
111.04,627.48,325.83,1.3357,0.111,-0.029,-0.037,-1.568,-0.025,0.058,-1,-1,NORMAL
110.9,627.5,325.9,1.406,0.011,-0.029,0.005,-1.57,-0.018,0.058,-1,-1,NORMAL
110.92,627.52,325.93,1.3709,-0.052,-0.041,0,-1.571,-0.014,0.058,-1,-1,NORMAL
110.94,627.54,325.96,1.3358,-0.09,-0.065,-0.014,-1.571,-0.011,0.058,-1,-1,NORMAL
110.96,627.56,325.99,1.3007,-0.091,-0.019,-0.013,-1.571,-0.012,0.059,-1,-1,NORMAL
110.98,627.58,326.02,1.2656,-0.025,-0.025,-0.035,-1.571,-0.011,0.059,-1,-1,NORMAL
111,627.6,326.05,1.2305,0.003,-0.018,-0.008,-1.572,-0.006,0.06,-1,-1,NORMAL
111.02,627.62,326.08,1.1954,-0.003,-0.01,-0.053,-1.569,-0.004,0.06,-1,-1,NORMAL
111.04,627.64,326.11,1.1603,-0.008,-0.031,-0.036,-1.565,-0.001,0.061,-1,-1,NORMAL
111.06,627.66,326.14,1.1252,0.028,-0.047,-0.05,-1.558,0.003,0.063,-1,-1,NORMAL
111.08,627.68,326.17,1.0901,0.012,-0.065,-0.047,-1.554,0.007,0.065,-1,-1,NORMAL
111.1,627.7,326.2,1.055,-0.057,-0.065,-0.045,-1.553,0.006,0.067,-1,-1,NORMAL
111.03,627.75,326.2,0.9847,-0.039,-0.057,-0.057,-1.552,0.007,0.069,-1,-1,NORMAL
110.96,627.8,326.2,0.9144,-0.007,-0.038,-0.015,-1.551,0.01,0.071,-1,-1,NORMAL
110.89,627.85,326.2,0.8441,-0.034,-0.017,-0.025,-1.551,0.014,0.073,-1,-1,NORMAL
110.82,627.9,326.2,0.7738,0.004,-0.041,-0.035,-1.55,0.02,0.074,-1,-1,NORMAL
110.75,627.95,326.2,0.7035,-0.002,-0.027,-0.03,-1.548,0.022,0.076,-1,-1,NORMAL
110.68,628,326.2,0.6332,-0.033,0,-0.021,-1.547,0.023,0.077,-1,-1,NORMAL
110.61,628.05,326.2,0.5629,0.016,0.009,0.008,-1.544,0.023,0.079,-1,-1,NORMAL
110.54,628.1,326.2,0.4926,-0.009,-0.037,-0.043,-1.541,0.027,0.08,-1,-1,NORMAL
110.47,628.15,326.2,0.4223,-0.027,-0.014,-0.005,-1.542,0.029,0.081,-1,-1,NORMAL
110.4,628.2,326.2,0.352,0.039,-0.018,0.001,-1.541,0.032,0.082,-1,-1,NORMAL
110.27,628.21,326.1,0.4223,-0.008,-0.026,-0.049,-1.536,0.029,0.083,-1,-1,NORMAL
110.14,628.22,326,0.4926,-0.105,0.005,-0.023,-1.537,0.028,0.084,-1,-1,NORMAL
110.01,628.23,325.9,0.5629,-0.099,0.016,-0.027,-1.537,0.027,0.084,-1,-1,NORMAL
109.88,628.24,325.8,0.6332,-0.048,-0.011,-0.027,-1.535,0.025,0.085,-1,-1,NORMAL
109.75,628.25,325.7,0.7035,0.082,0.001,-0.004,-1.534,0.026,0.086,-1,-1,NORMAL
109.62,628.26,325.6,0.7738,0.035,0.031,-0.012,-1.533,0.023,0.087,-1,-1,NORMAL
109.49,628.27,325.5,0.8441,-0.073,0.005,0.012,-1.534,0.024,0.087,-1,-1,NORMAL
109.36,628.28,325.4,0.9144,-0.051,-0.023,0.007,-1.536,0.026,0.088,-1,-1,NORMAL
109.23,628.29,325.3,0.9847,-0.004,-0.016,0.011,-1.537,0.026,0.088,-1,-1,NORMAL
109.1,628.3,325.2,1.055,0.094,0.013,0.027,-1.536,0.02,0.088,-1,-1,NORMAL
108.91,628.34,325.16,1.0901,0.027,0.033,-0.011,-1.533,0.017,0.088,-1,-1,NORMAL
108.72,628.38,325.12,1.1252,-0.068,0.037,0.001,-1.534,0.011,0.088,-1,-1,NORMAL
108.53,628.42,325.08,1.1603,-0.063,0.035,0.026,-1.537,0.008,0.088,-1,-1,NORMAL
108.34,628.46,325.04,1.1954,0.031,-0.002,0.016,-1.538,0.009,0.089,-1,-1,NORMAL
108.15,628.5,325,1.2305,0.008,0.006,0.012,-1.54,0.013,0.089,-1,-1,NORMAL
107.96,628.54,324.96,1.2656,-0.034,-0.002,0.012,-1.541,0.013,0.089,-1,-1,NORMAL
107.77,628.58,324.92,1.3007,0.024,0.001,0.029,-1.542,0.012,0.089,-1,-1,NORMAL
107.58,628.62,324.88,1.3358,0.018,0.011,0.019,-1.544,0.012,0.089,-1,-1,NORMAL
107.39,628.66,324.84,1.3709,0.003,0.034,0.014,-1.545,0.012,0.09,-1,-1,NORMAL
107.2,628.7,324.8,1.406,-0.019,0.004,0.041,-1.547,0.012,0.09,-1,-1,NORMAL
107.17,628.77,324.84,1.3006,0.003,0.031,0.039,-1.55,0.011,0.09,-1,-1,NORMAL
107.14,628.84,324.88,1.1952,-0.037,0.01,0.031,-1.553,0.014,0.09,-1,-1,NORMAL
107.11,628.91,324.92,1.0898,0.019,-0.003,0.033,-1.556,0.016,0.09,-1,-1,NORMAL
107.08,628.98,324.96,0.9844,0.011,0.005,0.015,-1.559,0.016,0.09,-1,-1,NORMAL
107.05,629.05,325,0.879,-0.04,0.009,0.019,-1.561,0.014,0.09,-1,-1,NORMAL
107.02,629.12,325.04,0.7736,-0.053,0.012,0.012,-1.562,0.012,0.09,-1,-1,NORMAL
106.99,629.19,325.08,0.6682,-0.035,0.012,0.028,-1.564,0.012,0.09,-1,-1,NORMAL
106.96,629.26,325.12,0.5628,0.019,0.033,0.027,-1.565,0.011,0.09,-1,-1,NORMAL
106.93,629.33,325.16,0.4574,-0.01,-0.017,-0.003,-1.565,0.011,0.09,-1,-1,NORMAL
106.9,629.4,325.2,0.352,-0.023,0.004,0.017,-1.566,0.012,0.09,-1,-1,NORMAL
106.96,629.55,325.16,0.352,0.015,-0.005,0.012,-1.568,0.01,0.09,-1,-1,NORMAL
107.02,629.7,325.12,0.352,-0.01,0.005,0.02,-1.569,0.008,0.091,-1,-1,NORMAL
107.08,629.85,325.08,0.352,-0.034,-0.003,0.004,-1.571,0.01,0.091,-1,-1,NORMAL
107.14,630,325.04,0.352,-0.044,-0.003,-0.009,-1.572,0.012,0.092,-1,-1,NORMAL
107.2,630.15,325,0.352,-0.01,-0.022,0.026,-1.575,0.013,0.092,-1,-1,NORMAL
107.26,630.3,324.96,0.352,0.009,0.01,0.002,-1.576,0.014,0.093,-1,-1,NORMAL
107.32,630.45,324.92,0.352,-0.022,0.008,-0.003,-1.576,0.018,0.094,-1,-1,NORMAL
107.38,630.6,324.88,0.352,-0.044,-0.003,0.012,-1.577,0.019,0.094,-1,-1,NORMAL
107.44,630.75,324.84,0.352,-0.015,-0.014,0.004,-1.578,0.02,0.095,-1,-1,NORMAL
107.5,630.9,324.8,0.352,-0.02,-0.006,-0.007,-1.578,0.017,0.096,-1,-1,NORMAL
107.5,630.9,324.8,0.352,-0.02,-0.006,-0.007,-1.578,0.017,0.096,-1,-1,NORMAL
